"","gemeente","VVD","PVV","CDA","D66","GL","SP","PVDA","CU","PVDD","50PLUS","SGP","DENK","FVD","BIJ1","JA21","VOLT","BBB"
"1","'s-gravenhage",-0.299999999999997,-4.3,-1.3,3,-4.5,-1.8,-1,0,0.5,-1.8,-0.1,0.8,2.4,1,1.7,3.1,0.1
"2","'s-hertogenbosch",0.899999999999999,-2.5,-3,4.4,-4.6,-3.5,-0.0999999999999996,0,0.9,-1.9,0,-0.2,2.8,0.4,1.9,3.1,0.3
"3","aa en hunze",2.8,-1.6,-2.2,2.2,-4.3,-4.1,-0.199999999999999,0.3,0.899999999999999,-2.6,0,0.1,2.4,0.2,1.8,1.7,2.6
"4","aalsmeer",-2.6,-1.6,-1.2,2.9,-2.9,-1.4,-0.2,-0.2,0.5,-2.4,-0.1,0.3,2.4,0.3,3.6,1.7,0.4
"5","aalten",2.8,-1,-5.6,2.1,-3,-6.2,0.5,0.399999999999999,0.3,-1.9,-0.1,-0.2,3.2,0.1,2.1,1,5.2
"6","achtkarspelen",1.1,0.399999999999999,-6.1,1,-2.4,-5,0.199999999999999,-0.9,0.4,-2.4,0.5,0,7.7,0.1,1.6,0.7,2.5
"7","alblasserdam",1.9,-3.1,-3.3,2.4,-2.9,-2.3,0,0,0.4,-1.6,0.599999999999998,0,3.9,0.2,2.7,0.6,0.3
"8","albrandswaard",0.600000000000001,-4.6,-3.7,2.7,-2.7,-1.5,-0.3,0,1,-2.3,0.0999999999999999,0.3,2.3,0.3,5.6,1.8,0.3
"9","alkmaar",-1.5,-1.7,-1.8,4,-6,-2,-0.899999999999999,-0.1,1,-2.1,0,-0.0999999999999999,3.8,0.4,2.4,2.5,1
"10","almelo",2.8,-2.4,-2.8,1.4,-3,-4.1,0.2,-0.0999999999999996,0.5,-2.1,0,-0.8,5,0.2,2.2,1.3,1
"11","almere",1.2,-3.6,-1.8,2.3,-4.3,-2.4,-0.5,-0.3,0.5,-3.2,0.1,0.6,4.2,1.4,2.5,2,0.3
"12","alphen aan den rijn",0.300000000000001,-2,-3.1,2.7,-3.9,-1.6,-0.600000000000001,0,0.6,-1.8,-0.3,0,2.9,0.3,2.9,2,0.7
"13","alphen-chaam",2.3,-1.7,-5.1,2.7,-2.2,-3.8,0.0999999999999996,-0.1,0.8,-2.1,-0.1,-0.1,3.1,0.1,2.7,1.5,2.5
